,lgbm_net,rf_net,lr_net,buy_and_hold
2022-06-17 00:00:00+00:00,0.7435751515666504,1.0151805941827092,0.7926924567177723,0.6339788726392707
2022-06-18 00:00:00+00:00,0.6891408837509457,0.9408631398828737,0.7926924567177723,0.5875677255345906
2022-06-19 00:00:00+00:00,0.747460717291476,1.0204854391778029,0.7926924567177723,0.6372917409789409
2022-06-20 00:00:00+00:00,0.7476751685335383,1.0207782229520876,0.7926924567177723,0.6374745840397833
2022-06-21 00:00:00+00:00,0.7528728850784406,1.0278745076508566,0.7926924567177723,0.6419062039890149
2022-06-22 00:00:00+00:00,0.7261319056233032,0.9913658597285885,0.7926924567177723,0.6191066040124437
2022-06-23 00:00:00+00:00,0.7668122158124969,1.0469054529793735,0.8371017090508351,0.6537910029437723
2022-06-24 00:00:00+00:00,0.7717046119449715,1.0535848929825506,0.8371017090508351,0.6579623039589233
2022-06-25 00:00:00+00:00,0.7808169723492164,1.0660257221712317,0.8469862845086069,0.6657315845272616
2022-06-26 00:00:00+00:00,0.7643587482126304,1.0435558081040806,0.8469862845086069,0.6516991543663379
2022-06-27 00:00:00+00:00,0.7534871606701109,1.0287131594788932,0.8349394732947879,0.6424299408921059
2022-06-28 00:00:00+00:00,0.7534871606701109,1.0058164758424453,0.8163557264072714,0.6281309937272425
2022-06-29 00:00:00+00:00,0.7475874728575168,0.9979410885578675,0.8099637874583142,0.6232128252940743
2022-06-30 00:00:00+00:00,0.7406580348722139,0.9886911062652062,0.8024561792662183,0.6174362241854255
2022-07-01 00:00:00+00:00,0.7164384595104929,0.9563608301725627,0.7762157997750675,0.5972460116195207
2022-07-02 00:00:00+00:00,0.7152823140097262,0.9548175123115018,0.7749631891807854,0.5962822117564361
2022-07-03 00:00:00+00:00,0.7176986952814252,0.9580430962654877,0.777581185599703,0.5982965844606323
2022-07-04 00:00:00+00:00,0.7519258066176284,1.003732252364485,0.8146640979519707,0.6268293990568388
2022-07-05 00:00:00+00:00,0.749821696156426,1.0009235131060912,0.8146640979519707,0.6250753452867234
2022-07-06 00:00:00+00:00,0.7641006507173423,1.0199842330557216,0.8146640979519707,0.636978738451058
2022-07-07 00:00:00+00:00,0.8034802304267377,1.0725513266319875,0.7726786216255676,0.6698068154595967
2022-07-08 00:00:00+00:00,0.8025322654663019,1.0712859052346546,0.7735902461201613,0.669016561552566
2022-07-09 00:00:00+00:00,0.8022385822040492,1.070893872723324,0.7738733381737817,0.6687717377931328
2022-07-10 00:00:00+00:00,0.7752420271346989,1.070893872723324,0.7738733381737817,0.6462665461348671
2022-07-11 00:00:00+00:00,0.7418030278440343,1.024702337438885,0.7738733381737817,0.6183907269437214
2022-07-12 00:00:00+00:00,0.7183306719217157,0.9922783959396138,0.7493862037855583,0.5988234203986528
2022-07-13 00:00:00+00:00,0.7516841684904586,1.038351820572408,0.7841816693749057,0.6266279617864191
2022-07-14 00:00:00+00:00,0.7650114405812904,1.0567616764917758,0.7980851183425619,0.6377380020087935
2022-07-15 00:00:00+00:00,0.7741007516725272,1.0693173522861563,0.8075673868853567,0.6453151424115007
2022-07-16 00:00:00+00:00,0.7741007516725272,1.087824777874274,0.8075673868853567,0.6564840642975363
2022-07-17 00:00:00+00:00,0.7598820152750585,1.0678435367634622,0.7927339330067675,0.644425719386725
2022-07-18 00:00:00+00:00,0.7598820152750585,1.151522365830714,0.8548545012287181,0.6949244935634586
2022-07-19 00:00:00+00:00,0.7924814515325609,1.2009234296924487,0.8548545012287181,0.7247372095855622
2022-07-20 00:00:00+00:00,0.7869104044216114,1.1924810857227301,0.8548545012287181,0.7196423961614106
2022-07-21 00:00:00+00:00,0.7843010940350962,1.188526946515502,0.8548545012287181,0.7172561392656704
2022-07-22 00:00:00+00:00,0.7683944668217161,1.1644221030885806,0.8548545012287181,0.7027092693064444
2022-07-23 00:00:00+00:00,0.7604343757854507,1.1523594108836728,0.8459987377551887,0.6954296362569724
2022-07-24 00:00:00+00:00,0.7648532598685881,1.1523594108836728,0.8509148363373438,0.6994707778050828
2022-07-25 00:00:00+00:00,0.7217962497762987,1.1523594108836728,0.8030130352753327,0.6600944399904418
2022-07-26 00:00:00+00:00,0.7197969080515663,1.1491674294169059,0.8007887268677626,0.6582660093820176
2022-07-27 00:00:00+00:00,0.7774084481569505,1.2411451869025083,0.8648827391340346,0.7109527022190012
2022-07-28 00:00:00+00:00,0.8077408342214936,1.289571332850019,0.8648827391340346,0.7386921638732474
2022-07-29 00:00:00+00:00,0.8055347808947124,1.289571332850019,0.8648827391340346,0.7366746921341216
2022-07-30 00:00:00+00:00,0.8007499156145054,1.2819112972522377,0.8648827391340346,0.7322988548136217
2022-07-31 00:00:00+00:00,0.7892350627659613,1.26347730223718,0.8648827391340346,0.7217683341230698
2022-08-01 00:00:00+00:00,0.7881337304599647,1.2617141920606367,0.8636758448303667,0.7207611477709718
2022-08-02 00:00:00+00:00,0.7785606111847626,1.2617141920606367,0.8531851481907918,0.7120063740950422
2022-08-03 00:00:00+00:00,0.7785606111847626,1.2617141920606367,0.8467384758487381,0.7066264494573737
2022-08-04 00:00:00+00:00,0.7719842555189431,1.2617141920606367,0.8395862345291554,0.700657708183094
2022-08-05 00:00:00+00:00,0.7955170920967357,1.3001757457482637,0.8651798208087839,0.7220162569174327
2022-08-06 00:00:00+00:00,0.783402393289712,1.2803757468388468,0.8651798208087839,0.7110208809874511
2022-08-07 00:00:00+00:00,0.7910679792034009,1.2929042128906056,0.8736455981717426,0.7179782144042517
2022-08-08 00:00:00+00:00,0.8128047809524184,1.3284303665144355,0.8976514505960614,0.7377066707656562
2022-08-09 00:00:00+00:00,0.7901255730955266,1.3284303665144355,0.8726048166340248,0.7171228807637007
2022-08-10 00:00:00+00:00,0.8174655937685366,1.3743968747757342,0.9027987940706442,0.741936853444468
2022-08-11 00:00:00+00:00,0.8166563537411226,1.3730363074648901,0.901905079489343,0.7412023821661687
2022-08-12 00:00:00+00:00,0.832714817238708,1.4000352444391488,0.9196398460541515,0.7557771434397605
2022-08-13 00:00:00+00:00,0.8341318409154033,1.4024176724307111,0.9212047893083287,0.7570632429355165
2022-08-14 00:00:00+00:00,0.8295256603374227,1.4024176724307111,0.9212047893083287,0.7528826448155771
2022-08-15 00:00:00+00:00,0.822392738745576,1.3903585695303868,0.9132835376263768,0.7464087608477836
2022-08-16 00:00:00+00:00,0.8141227836974892,1.376377168274003,0.9040995876150375,0.7389028982484557
2022-08-17 00:00:00+00:00,0.8141227836974892,1.376377168274003,0.8847647564392245,0.723100919142769
2022-08-18 00:00:00+00:00,0.8089588675445893,1.376377168274003,0.87915276386417,0.7185143474470608
2022-08-19 00:00:00+00:00,0.7266083614359792,1.236264535912689,0.7896566498395502,0.6453709250402326
2022-08-20 00:00:00+00:00,0.7371769438867453,1.25424611219531,0.8011422751840368,0.6547579018417868
2022-08-21 00:00:00+00:00,0.7503588866067828,1.2766741066475191,0.8154680237979259,0.6664660558055608
2022-08-22 00:00:00+00:00,0.7462207754193915,1.2696334498395996,0.8109708459641323,0.6627906003791353
2022-08-23 00:00:00+00:00,0.7507985173062866,1.27742210222745,0.8159458015441806,0.666856534206682
2022-08-24 00:00:00+00:00,0.745100763875418,1.2677278420526332,0.8097536502772454,0.6617958101667553
2022-08-25 00:00:00+00:00,0.7518487461995452,1.2792089805572844,0.8170871594935667,0.6677893437204713
2022-08-26 00:00:00+00:00,0.7058061532578784,1.2008712847416798,0.8170871594935667,0.6268944787903593
2022-08-27 00:00:00+00:00,0.6986604098246765,1.188713388331377,0.8088147816213217,0.6205476552546766
2022-08-28 00:00:00+00:00,0.682038182424396,1.1604320316425667,0.789571808875533,0.6057838528503833
2022-08-29 00:00:00+00:00,0.7074390672846061,1.2036495540385654,0.8189775270932789,0.6283448271373805
2022-08-30 00:00:00+00:00,0.6909564051857554,1.175605656264019,0.7998961242278074,0.6137049861302685
2022-08-31 00:00:00+00:00,0.6992744971509671,1.1897582075541373,0.8095256890947177,0.6210930854022741
2022-09-01 00:00:00+00:00,0.7021006945049191,1.1945667505679778,0.8127974791711426,0.6236033036951956
2022-09-02 00:00:00+00:00,0.6957679189525452,1.183792052333261,0.8054662458517458,0.6179785552980939
2022-09-03 00:00:00+00:00,0.6999653453930442,1.1766504754867795,0.8006070317012034,0.6142504162778661
2022-09-04 00:00:00+00:00,0.6999653453930442,1.1868612088001198,0.8075545365548467,0.6195807563566622
2022-09-05 00:00:00+00:00,0.6926900499715817,1.174525218204119,0.7991609812723637,0.6131409617730935
2022-09-06 00:00:00+00:00,0.6575599661126041,1.1149586495610622,0.7586311767947727,0.5820452452901634
2022-09-07 00:00:00+00:00,0.6398618822071694,1.144967519851141,0.7790495704198696,0.5977108668589507
2022-09-08 00:00:00+00:00,0.6398618822071694,1.144967519851141,0.7799503225026383,0.5984019516482364
2022-09-09 00:00:00+00:00,0.6398618822071694,1.2660918046672622,0.8624600211336679,0.6617059381537986
2022-09-10 00:00:00+00:00,0.6484774822041047,1.2660918046672622,0.8624600211336679,0.6706156635762048
2022-09-11 00:00:00+00:00,0.6484774822041047,1.2766701173955526,0.8624600211336679,0.6762187187287997
2022-09-12 00:00:00+00:00,0.6652895201542183,1.3097683005282623,0.8624600211336679,0.6937499593251656
2022-09-13 00:00:00+00:00,0.5992093250294571,1.3097683005282623,0.8624600211336679,0.6248429176670085
2022-09-14 00:00:00+00:00,0.6008290104957487,1.3133086537770553,0.8647912831870732,0.6265318917036037
2022-09-15 00:00:00+00:00,0.5851908730212043,1.279126380758433,0.8422828411228185,0.6102247699044031
2022-09-16 00:00:00+00:00,0.5882132952583028,1.2857328748025112,0.8466331044408245,0.6133764884277378
2022-09-17 00:00:00+00:00,0.5974113255668765,1.3058381836190516,0.8598721063771355,0.6229680015346413
2022-09-18 00:00:00+00:00,0.5766823234982815,1.2605281580955072,0.8300362296385995,0.6013522329011515
2022-09-19 00:00:00+00:00,0.5803704513215254,1.2685897698051443,0.8353446630482801,0.6051981352487014
2022-09-20 00:00:00+00:00,0.5607024175308499,1.2255988380610847,0.807035869893351,0.5846887220850547
2022-09-21 00:00:00+00:00,0.5482412410901878,1.1983608542589026,0.7891001234898124,0.5716944686255246
2022-09-22 00:00:00+00:00,0.5763256955057036,1.2597486307746724,0.8295229242323451,0.6009803487096076
2022-09-23 00:00:00+00:00,0.573003111374852,1.2524860345688913,0.8295229242323451,0.5975156276583902
2022-09-24 00:00:00+00:00,0.5620159973035121,1.228470097026161,0.8295229242323451,0.5860584955239082
2022-09-25 00:00:00+00:00,0.5587082726723515,1.2212399811254149,0.8246407973502627,0.5826092696473385
2022-09-26 00:00:00+00:00,0.5587082726723515,1.248302571280409,0.8429147781146429,0.5955198491637712
2022-09-27 00:00:00+00:00,0.5544575506569428,1.2388053300882338,0.8429147781146429,0.5909890600967945
2022-09-28 00:00:00+00:00,0.5642615415160113,1.260710047803702,0.8578193073609635,0.6014390058791784
2022-09-29 00:00:00+00:00,0.5693554300050647,1.260710047803702,0.8578193073609635,0.6068685150757196
2022-09-30 00:00:00+00:00,0.5643894702223575,1.260710047803702,0.8578193073609635,0.601575363416078
2022-10-01 00:00:00+00:00,0.561258124387477,1.260710047803702,0.8530599540120668,0.5982377027969713
2022-10-02 00:00:00+00:00,0.561258124387477,1.2440825727637714,0.8418089664296242,0.5903475598663813
2022-10-03 00:00:00+00:00,0.5781288080848255,1.2814780645464279,0.8671126407803965,0.6080926338728849
2022-10-04 00:00:00+00:00,0.5571804041225223,1.2814780645464279,0.8671126407803965,0.6301267722218616
2022-10-05 00:00:00+00:00,0.552165698277127,1.2814780645464279,0.8671126407803965,0.624455538300817
2022-10-06 00:00:00+00:00,0.5467947564973594,1.2814780645464279,0.8586781952422845,0.6183814298389332
2022-10-07 00:00:00+00:00,0.534926619329924,1.2814780645464279,0.8400406525761809,0.6049595095591276
2022-10-08 00:00:00+00:00,0.5317835222781926,1.2814780645464279,0.8351047806209694,0.6014049164949536
2022-10-09 00:00:00+00:00,0.5311313364906495,1.2814780645464279,0.8361289632934543,0.6021424868081823
2022-10-10 00:00:00+00:00,0.5227666329926496,1.2612962689853777,0.8229609003615039,0.5926594399238125
2022-10-11 00:00:00+00:00,0.5227666329926496,1.2567454719471016,0.8199916312690053,0.5905211058224351
2022-10-12 00:00:00+00:00,0.5202152135820846,1.2628791549117346,0.8239936896110688,0.5934032083069005
2022-10-13 00:00:00+00:00,0.5202152135820846,1.2628791549117346,0.8333533421852493,0.600143609278634
2022-10-14 00:00:00+00:00,0.5202152135820846,1.2628791549117346,0.8333533421852493,0.5939176481052029
2022-10-15 00:00:00+00:00,0.523043679882203,1.2628791549117346,0.8333533421852493,0.59068845370863
2022-10-16 00:00:00+00:00,0.52829870415753,1.2755673124617126,0.8417260502621247,0.5966231055986849
2022-10-17 00:00:00+00:00,0.52829870415753,1.2755673124617126,0.8417260502621247,0.6055700194402455
2022-10-18 00:00:00+00:00,0.5223589057223025,1.2612257805462221,0.8417260502621247,0.5987614397000625
2022-10-19 00:00:00+00:00,0.516838164527612,1.2478960544782056,0.8328299605632221,0.5924332103739569
2022-10-20 00:00:00+00:00,0.514621216545415,1.2425432751560834,0.8292575837007833,0.5898920017317402
2022-10-21 00:00:00+00:00,0.514621216545415,1.25012855512231,0.834319903108288,0.593493080319857
2022-10-22 00:00:00+00:00,0.515808954864309,1.253013833732527,0.834319903108288,0.5948628537587104
2022-10-23 00:00:00+00:00,0.5256333243074686,1.2768793961735985,0.834319903108288,0.6061929254610816
2022-10-24 00:00:00+00:00,0.5256333243074686,1.2768793961735985,0.834319903108288,0.5986746667220355
2022-10-25 00:00:00+00:00,0.5460457934372206,1.2768793961735985,0.866719921293919,0.6219236267633891
2022-10-26 00:00:00+00:00,0.5272713283618689,1.2768793961735985,0.866719921293919,0.6433069677771639
2022-10-27 00:00:00+00:00,0.5152619690188835,1.2768793961735985,0.866719921293919,0.6286547306303338
2022-10-28 00:00:00+00:00,0.5228135395194536,1.2768793961735985,0.866719921293919,0.6378681614758342
2022-10-29 00:00:00+00:00,0.5228135395194536,1.2768793961735985,0.866719921293919,0.6444969971901044
2022-10-30 00:00:00+00:00,0.5228135395194536,1.2768793961735985,0.866719921293919,0.6388846449327209
2022-10-31 00:00:00+00:00,0.5194254310540295,1.2768793961735985,0.8611031174422307,0.6347443342668654
2022-11-01 00:00:00+00:00,0.5194254310540295,1.2768793961735985,0.8611031174422307,0.6344375298088416
2022-11-02 00:00:00+00:00,0.5194254310540295,1.2768793961735985,0.8471384418598127,0.6241487338427935
2022-11-03 00:00:00+00:00,0.5178883107968897,1.2731007648851764,0.849645353500512,0.6259957586607949
2022-11-04 00:00:00+00:00,0.5419345811225085,1.2731007648851764,0.8890955620208428,0.655061607264881
2022-11-05 00:00:00+00:00,0.5458393118726864,1.2822736722394654,0.8890955620208428,0.6597814374625594
2022-11-06 00:00:00+00:00,0.5358428934912397,1.258790306662071,0.8890955620208428,0.6476983002723117
2022-11-07 00:00:00+00:00,0.5358428934912397,1.2394326413720618,0.8754230589761778,0.6377380020087939
2022-11-08 00:00:00+00:00,0.48260387917383285,1.2394326413720618,0.7884448395451819,0.5743751338395706
2022-11-09 00:00:00+00:00,0.48260387917383285,1.2394326413720618,0.6766059767436127,0.4929015055421588
2022-11-10 00:00:00+00:00,0.5336709856591871,1.370584174564717,0.7482015667379226,0.5450582634061923
2022-11-11 00:00:00+00:00,0.5175983497083302,1.3293061192277296,0.7482015667379226,0.5286426753844582
2022-11-12 00:00:00+00:00,0.5099701437841365,1.309715212843515,0.7482015667379226,0.5208517015716133
2022-11-13 00:00:00+00:00,0.49523259558453064,1.309715212843515,0.7265794055443289,0.5057996889188735
2022-11-14 00:00:00+00:00,0.5038499801607877,1.309715212843515,0.7392223822356623,0.5146009481187461
2022-11-15 00:00:00+00:00,0.5124400561239509,1.3320443854374011,0.7392223822356623,0.5233743160042529
2022-11-16 00:00:00+00:00,0.5052275479768513,1.3132960833336682,0.7392223822356623,0.5160079099767539
2022-11-17 00:00:00+00:00,0.5061833494351334,1.3157806080129597,0.7392223822356623,0.5169841059795568
2022-11-18 00:00:00+00:00,0.5061833494351334,1.3163800488879633,0.7395591557896508,0.5172196326342013
2022-11-19 00:00:00+00:00,0.5061833494351334,1.3166324450458597,0.7397009551808039,0.5173188017519464
2022-11-20 00:00:00+00:00,0.4934384781564708,1.2834817871821707,0.7210764913990468,0.5042935579431209
2022-11-21 00:00:00+00:00,0.4782889713974419,1.2440764370306145,0.6989380614552786,0.4888107794351761
2022-11-22 00:00:00+00:00,0.4918616680054109,1.2793803496163563,0.71877225129281,0.502682059779764
2022-11-23 00:00:00+00:00,0.4918616680054109,1.3089737991296946,0.7353982299055037,0.5143096388353703
2022-11-24 00:00:00+00:00,0.4919624362522696,1.3089737991296946,0.7353982299055037,0.5142042716477663
2022-11-25 00:00:00+00:00,0.4919624362522696,1.3029544950583367,0.7353982299055037,0.5118397079965328
2022-11-26 00:00:00+00:00,0.4919624362522696,1.2976767566261767,0.7353982299055037,0.5097664536286756
2022-11-27 00:00:00+00:00,0.4919624362522696,1.295578283647171,0.7353982299055037,0.5089421103374198
2022-11-28 00:00:00+00:00,0.49849593322270175,1.295578283647171,0.7353982299055037,0.5021831151561092
2022-11-29 00:00:00+00:00,0.49146047887804245,1.295578283647171,0.7353982299055037,0.5092706080399503
2022-11-30 00:00:00+00:00,0.46992476514973164,1.295578283647171,0.7353982299055037,0.5315867585675144
2022-12-01 00:00:00+00:00,0.4749326789079806,1.3093850561195644,0.7432352523109143,0.5259217227163288
2022-12-02 00:00:00+00:00,0.47178427866183886,1.3093850561195644,0.7432352523109143,0.5294081370120529
2022-12-03 00:00:00+00:00,0.4661641826185394,1.3093850561195644,0.7432352523109143,0.5231016009304541
