Date,Open,High,Low,Close,Volume,funding_rate,funding_mean_3,funding_mean_14,funding_mean_30,funding_vol_3,funding_vol_14,funding_vol_30,funding_z_5,funding_z_20,funding_z_60,btc_vol_5,btc_vol_20,btc_vol_60,btc_rsi_7,btc_rsi_14,btc_rsi_28,btc_sma_10,btc_sma_50,btc_sma_200
2021-01-15,39145.21,39747.76,34408.0,36742.22,118300.920916,0.00238296,0.0018854833333333335,0.0028456307142857144,0.0018672126666666666,0.0007048585912318404,0.0012396473217098985,0.0012944936403193044,0.9160827357796697,-0.013783173483701462,0.9254721722111489,1.4049125085063565,0.9709070683254798,0.7996246074372461,36.31011662416383,63.57194686916703,68.27307320872221,37773.65,25844.8206,15371.275049999998
2021-01-16,36737.43,37950.0,35357.8,35994.98,86348.431508,0.00111069,0.001896086666666667,0.00282095,0.001875578,0.0006866621247988961,0.0012724434547146492,0.0012885558023520637,-0.8471385552921552,-1.0237897383844676,-0.1621820008276703,1.234539601517698,0.9783920139810885,0.7968411472998455,35.667686291644614,57.57226451906728,66.30003307307314,37696.212,26221.929799999998,15505.5572
2021-01-17,35994.98,36852.5,33850.0,35828.61,80157.727384,0.00073385,0.0014091666666666669,0.0025920764285714284,0.001857669,0.0008641222068858857,0.001342302955031487,0.0013009208542449108,-1.0385372088933962,-1.2527723436348692,-0.4780617528191404,1.1598296847052347,0.9799011247934422,0.797781239980976,40.720247075253184,55.7617158854958,66.65654330978882,37335.845,26584.105,15638.540250000002
2021-01-18,35824.99,37469.83,34800.0,36631.27,70698.11875,0.00208246,0.0013090000000000003,0.002414577142857143,0.001887559,0.0006958321457794257,0.0012196982006181724,0.0012952396120711697,0.5218663457704872,-0.24904329364762817,0.648031598543233,0.8000383859927116,0.9804189973546638,0.7977771661374876,55.805941103863375,59.53788148978104,68.6939714066666,36940.691,26953.030600000002,15776.263900000002
2021-01-19,36622.46,37850.0,35844.06,35891.49,79611.307769,0.0036022700000000003,0.002139526666666667,0.0025301621428571426,0.0019560980000000003,0.0014350612451854922,0.0012520099578565565,0.0013304709518383011,1.4326754703817428,0.8626819205071427,1.8441364626789534,0.593210572087392,0.97524433798014,0.7968752973507854,59.24600993408677,54.20038725685807,66.38844106661445,36521.018,27276.943000000003,15910.430049999999
2021-01-20,35901.94,36415.31,33400.0,35468.23,89368.422918,0.00122627,0.002303666666666667,0.0022702857142857143,0.0019650453333333335,0.0012033467048333725,0.001098362076910708,0.0013244150804417802,-0.4578071140603743,-0.9525964353149544,-0.11440577812117095,0.33670507997767957,0.9794019000922687,0.7986029563494229,36.51149373963984,46.860187829360626,66.66839224784869,36252.839,27611.0084,16042.0939
2021-01-21,35468.23,35600.0,30071.0,30850.13,135004.076658,0.00117024,0.0019995933333333336,0.002108945,0.001990734666666667,0.0013882414104302375,0.0010808193940763362,0.0013002566959742006,-0.5207198179465168,-1.0239813213402278,-0.14527498374893216,1.1996128496721854,1.1691013330724467,0.8783014823937337,8.107930652373355,31.07578594093316,58.72144192657543,35797.405000000006,27843.9292,16150.9975
2021-01-22,30851.99,33826.53,28850.0,32945.17,142971.684049,0.00030000000000000003,0.0008988366666666669,0.001817907142857143,0.0019902266666666666,0.0005193638948110778,0.0009663484582013538,0.0013009366702557393,-1.1030075620181903,-1.5666822690565863,-0.8365522544149246,1.4617535569633608,1.1343851876689133,0.8890111172159235,30.208132437487663,33.8319596131322,59.81578136609542,35686.797999999995,28114.3946,16269.00235
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.287675,0.00032182,0.0005973533333333336,0.00164317,0.0019852153333333334,0.0004962543478231013,0.0010018311213281113,0.0013072602487058324,-0.7431197739258185,-1.3879758202708172,-0.7935949978765009,1.40135857643832,1.1349206715726825,0.8896784816549561,29.835117653961106,33.30657456983634,56.80679942538168,35157.46,28382.944199999998,16383.1054
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.037966,0.00065756,0.0004264600000000003,0.0014621214285714286,0.0019859896666666664,0.00020043561459979602,0.0009265553143756748,0.0013064391046433287,-0.17391216756575523,-1.0588727925942514,-0.4966189225618521,1.4291910658119396,1.1272756260576686,0.8861215596190802,31.657365251115365,36.75534632377048,57.29187757943386,34469.0,28645.189,16497.2246
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.226921,0.00104667,0.0006753500000000003,0.0013786814285714284,0.002008557,0.0003627523172910112,0.0009059257985988902,0.001283196438212954,0.8643825316464322,-0.7178933631023351,-0.1768792760355152,1.4397076041995018,1.0955852589782238,0.8527398071007959,25.4949361490079,41.92072318461085,56.43624032689821,34020.198,28903.085,16612.33345
2021-01-26,32254.19,32921.88,30837.37,32467.77,84972.20691,0.00033506,0.0006797633333333336,0.0013030957142857143,0.0019808683333333334,0.00035632420495011535,0.0009477937349421596,0.0013106778715324032,-0.6103025655925876,-1.1990083444688198,-0.7701839711880039,0.6465888272303938,1.032711696811239,0.8523449717913142,29.632207540028517,45.68685570590287,56.33629273076886,33667.477,29169.102399999996,16728.2306
2021-01-27,32464.01,32557.29,29241.72,30366.15,95911.961711,0.00030000000000000003,0.000560576666666667,0.0012474614285714284,0.0019405769999999998,0.00042133400934808425,0.0009841304019664924,0.0013438509955557593,-0.7188285896219448,-1.1190549537226817,-0.7993939143908965,0.5993227544611087,1.0039491586050435,0.8714952737249922,24.699844293915817,29.56206189705445,51.830340620834576,33121.231,29409.9432,16833.891200000002
2021-01-28,30362.19,33783.98,29842.1,33364.86,92621.145617,0.00042262,0.0003525600000000003,0.0011208907142857144,0.0019124853333333336,6.315539248550224e-05,0.000966741368280891,0.001367060074334533,-0.4192575829508452,-0.9858796783780905,-0.6998451934786717,1.0938842714989068,1.0913849017610004,0.8956307421457852,64.85595560338842,34.263153882176056,55.08497921574802,32794.590000000004,29706.4148,16954.20175
2021-01-29,33368.18,38531.9,31915.4,34252.2,231827.005626,0.0024159200000000002,0.0010461800000000005,0.001123245,0.0019301176666666664,0.0011878129763561263,0.0009700856315314907,0.0013701272479708945,1.6833450598830846,1.0099576024617893,0.9325535974277162,1.104186020131666,1.1020576281581929,0.8794411087942146,59.00653389396634,42.610541260147215,55.572571024226264,32630.661000000004,30026.366199999997,17079.249649999998
2021-01-30,34246.28,34933.0,32825.0,34262.88,84889.68134,0.00124836,0.0013623000000000003,0.0011330785714285716,0.0019216026666666669,0.0010015228231048954,0.0009706461792962576,0.0013736572343375237,0.3338173591188859,-0.07027881617356431,-0.04090541101137341,1.1037028691878545,1.0862959267988446,0.8678187374905448,67.07065529914009,44.62478044178136,52.52284911847878,32510.126,30350.8932,17204.2848
2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.280384,0.00145295,0.0017057433333333338,0.0011844428571428573,0.0019421856666666667,0.000623480104280268,0.0009669142150591858,0.001361392686501541,0.33161639772482,0.20354662599104761,0.11385574285377302,1.1765595034714718,1.0501317274541522,0.8741314867143936,55.63842805162778,42.00829310160137,50.11152958876172,32734.411,30636.578999999998,17323.761700000003
2021-02-01,33092.97,34717.27,32296.16,33526.37,82718.276882,0.00118341,0.001294906666666667,0.001120225,0.001933092,0.00014066946020132725,0.0009319058843264769,0.0013656551844151577,-0.22551797799203815,-0.09084050335560576,-0.12221126250947767,0.9049092546377239,1.0397109518243415,0.8741690205186391,58.13906472122432,40.72951649810721,51.87137751182355,32792.531,30923.606599999996,17445.72495
